Metric,Train,Validation,Test
Accuracy,0.9954562665656949,0.9165562913907285,0.9470899470899471
Precision,0.9746300211416491,0.8111111111111111,0.8780487804878049
Recall,1.0,0.6134453781512605,0.7058823529411765
F1 Score,0.987152034261242,0.6985645933014354,0.782608695652174
